Code,Name,Parent Category Code,Image name
AA1,រូបកាតហាង,A1,no_image.png
AA2,ថតភ្លាមយកភ្លាម,A1,no_image.png
BB1,រូបStudioហាង,B1,no_image.png
BB2,អាល់ប៊ុមពិសេស,B1,no_image.png
BB3,អាល់ប៊ុមពិសេស+1Set ,B1,no_image.png
BB4,ថតភ្លាមយកភ្លាម,B1,no_image.png
CC1,T N,C1,no_image.png
CC2,ផ្ដិតហ្វិល,C1,no_image.png
CC3,Memory,C1,no_image.png
CC4,Memory + អ៌ុត,C1,no_image.png
CC5,Scanដដែល,C1,no_image.png
CC6,ដូរផ្ទៃ,C1,no_image.png
CC7,លុបស្នាម,C1,no_image.png
CC8,កូលរ័,C1,no_image.png
CC9,ឡង់យ៉េ,C1,no_image.png
CC10,ក្បាល,C1,no_image.png
CC11,កែសាច់ម៉ត់,C1,no_image.png
CC12,ហៅចេញ,C1,no_image.png
CC13,Name card,C1,no_image.png
CC14,ព្រីនកាត,C1,no_image.png
CC15,ធ្វើកំរប​​​​ រូបថត CD,C1,no_image.png
CC16,តំរាបខ្នាតកាត,C1,no_image.png
CC17,បញ្ចូនហ្វីលផ្ដិត,C1,no_image.png
CC18,អាល់ប៊ុំពិសេស+រូប,C1,no_image.png
CC19,តេសក្រដាស,C1,no_image.png
CC20,រូបបិតត្បូង,C1,no_image.png
DD1,ស្ទីកគឺ,D1,no_image.png
DD2,ស្ទីកគឺថ្លា,D1,no_image.png
DD3,ហ្វីល,D1,no_image.png
DD4,PVC,D1,no_image.png
DD5,PVCក្រាស់,D1,no_image.png
DD6,ក្រណាត់,D1,no_image.png
DD7,ក្រណាត់វាំងនន,D1,no_image.png
DD8,ផ្លាកស្ទីក X Trand,D1,no_image.png
DD9,snor 3លី,D1,no_image.png
DD10,snor 5លី,D1,no_image.png
DD11,Snor10លី,D1,no_image.png
DD12,មេការ 3លី,D1,no_image.png
DD13,មេការ 5លី,D1,no_image.png
DD14,មេការ 10លី,D1,no_image.png
DD15,មេការស 3លី,D1,no_image.png
DD16,មេការ ស5លី,D1,no_image.png
DD17,មេការ ស10លី,D1,no_image.png
DD18,កញ្ចក់ 3លី,D1,no_image.png
DD19,កញ្ចក់ 5លី,D1,no_image.png
DD20,កញ្ចក់ 8លី,D1,no_image.png
DD21,កញ្ចក់ 10លី,D1,no_image.png
DD22,កញ្ចក់ 12លី,D1,no_image.png
DD23,ព្រីនផុស 3លី,D1,no_image.png
DD24,ព្រីនផុស 5លី,D1,no_image.png
DD25,ព្រីនផុស 10លី,D1,no_image.png
DD26,ព្រីនផុស រលោង3លី,D1,no_image.png
DD27,ព្រីនផុស រលោង5លី,D1,no_image.png
DD28,ព្រីនផុស រលោង 10លី,D1,no_image.png
DD29,កញ្ចក់សំលៀង 5លី,D1,no_image.png
DD30,កញ្ចក់សំលៀង 8លី,D1,no_image.png
DD31,កញ្ចក់សំលៀង 10លី,D1,no_image.png
DD32,កញ្ចក់សំលៀង 12លី,D1,no_image.png
DD33,ញ្ចក់សំលៀង ឆ្អិន10លី,D1,no_image.png
DD34,ព្រីនដូចគំនូរ,D1,no_image.png
DD35,ព្រីនស្បែក,D1,no_image.png
DD36,ព្រីនលើឈើល្អ,D1,no_image.png
DD37,ព្រីនលើក្តារកុងផ្លាកកេ,D1,no_image.png
DD38,ព្រីនលើដែក,D1,no_image.png
DD39,ព្រីនលើអាលុយមីញូម,D1,no_image.png
DD40,ព្រីនលើការ៉ូ,D1,no_image.png
DD41,ព្រីនលើមាត្រ,D1,no_image.png
DD42,សំបកទូរសព្ទ័ ,D1,no_image.png
DD43,ថ្លៃព្រីនUV ,D1,no_image.png
DD44,ព្រីន លេខ2,D1,no_image.png
DD45,ព្រីនលេខ3,D1,no_image.png
DD46,ព្រីនPVC Express,D1,no_image.png
DD47,បន្តោងសោរ,D1,no_image.png
EE1,fujixexor ស+ខ្មៅ ,E1,no_image.png
EE2,fujixexor កូល័រ ,E1,no_image.png
EE3, card fujixexor,E1,no_image.png
EE4,ឡង់យ៉េfujixexor ,E1,no_image.png
EE5,fujixexorស្ទីកគឺ,E1,no_image.png
EE6,fujixexorស្ទីកគឺថ្លា,E1,no_image.png
EE7,fujixexorហ្វិល,E1,no_image.png
EE8,ព្រីនលើអាវ,E1,no_image.png
EE9,ព្រីនលើមួក,E1,no_image.png
EE10,ព្រីនលើកែវ,E1,no_image.png
EE11,ព្រីនលើចាន,E1,no_image.png
EE12,ថ្លៃព្រីនfujixexor,E1,no_image.png
EE13,ធ្វើសៀវភៅ,E1,no_image.png
FF1,Fuji copy ស+ខ្មៅ ,F1,no_image.png
FF2,Fuji Print ស+ខ្មៅ ,F1,no_image.png
FF3,Fuji Copy  កូល័រ ,F1,no_image.png
FF4,Fuji Print កូល័រ ,F1,no_image.png
FF5,copyស+ខ្មៅ,F1,no_image.png
FF6,Copy  កូល័រ ,F1,no_image.png
GG1,បន្តោង,G1,no_image.png
GG2,ឣ៊ុតគ្រើឞ,G1,no_image.png
GG3,ឣ៊ុតរឹង,G1,no_image.png
GG4,វាយអត្ថបទ,G1,no_image.png
GG5,ផាត់មុខ,G1,no_image.png
GG6,ផ្កានំ Cake,G1,no_image.png
GG7,ជំពាក់ចាស់,G1,no_image.png
GG8,បន្ទប់ជួលសំរាប់ថត,G1,no_image.png
GG9,ព្រីនលើ CD,G1,no_image.png
GG10,លាងកាសែតធំ,G1,no_image.png
GG11,ផ្ញើរឡាន,G1,no_image.png
GG12,សេវចូលផ្លាស់,G1,no_image.png
GG13,លាងហ្វីល,G1,no_image.png
GG14,បញ្ចូនហ្វីល,G1,no_image.png
GG15,BURN to CD,G1,no_image.png
GG16,Album 1ក្បាល  ,G1,no_image.png
GG17,ជួលជើង ,G1,no_image.png
GG18,គល់ក្រហម,G1,no_image.png
GG19,លុយទឹកថ្នាំ,G1,no_image.png
GG20,ចំនូលបុគ្គលិកដាក់​លុយ,G1,no_image.png
GG21,កែរូបអត់ផ្តិត ១សន្លឹក  ,G1,no_image.png
GG22,កែរូបផលិតផល ,G1,no_image.png
GG23,កែរូបមុខម្ហុប​  ,G1,no_image.png
GG24,ជួសជុលម៉ាស៊ីន ,G1,no_image.png
GG25,ផ្ញើរឡាន,G1,no_image.png
GG26,បោករូកចាក់់,G1,no_image.png
HH1,សំបកទូរសព្ទ័,H1,no_image.png
HH2,គ្រាប់ចាប់កញ្ចក់,H1,no_image.png
HH3,X Trand,H1,no_image.png
HH4,ម៉ោង,H1,no_image.png
HH5,ដុំភ្លើង,H1,no_image.png
HH6,ភ្លើងLED,H1,no_image.png
HH7,ប្រអប់ចាប់រូប,H1,no_image.png
HH8,ឈើចាប់រូប,H1,no_image.png
HH9,ថ្លៃតំឡើងស៊ុំ,H1,no_image.png
HH10,ថ្លៃបិទស្ទីកគ័រ ,H1,no_image.png
II1,កាសែតវីដេអូតូច  ,I1,no_image.png
II2,លាងក្បាល,I1,no_image.png
II3,កាសែតម៉ាញ៉េ,I1,no_image.png
II4,កាសែត Vidio,I1,no_image.png
II5,បន្ទះការពារមូស,I1,no_image.png
JJ1,Duracell,J1,no_image.png
JJ2,Panasonic,J1,no_image.png
JJ3,ឆ្នាំងសាក,J1,no_image.png
JJ4,sanyo,J1,no_image.png
JJ5,ថ្ម Camelion,J1,no_image.png
JJ6,Fuji,J1,no_image.png
JJ7,ថ្មGP,J1,no_image.png
JJ8,ថ្ម9V ,J1,no_image.png
JJ9,ថ្ម6v,J1,no_image.png
JJ10,ថ្មTele,J1,no_image.png
JJ11,ថ្ម,J1,no_image.png
JJ12,ថ្មសាក់់ ,J1,no_image.png
JJ13,ថ្មសាក Camelion,J1,no_image.png
JJ14,ថ្មសាក់ (9V)  ,J1,no_image.png
JJ15,ថ្ម Digital,J1,no_image.png
JJ16,ឆ្នាំង Digital,J1,no_image.png
JJ17,ថ្មសាក់ (9V)  ,J1,no_image.png
JJ18,ឆ្នាំងសាក់ +ថ្ម,J1,no_image.png
JJ19,ឌុយសាក់់,J1,no_image.png
JJ20,ខ្សែឆ្នាំងសាក  ,J1,no_image.png
JJ21,ឆ្នាំងសាក,J1,no_image.png
KK1,Canon,K1,no_image.png
KK2,Nikon,K1,no_image.png
KK3,Casio,K1,no_image.png
KK4,Sony,K1,no_image.png
